"N°","dc.contributor.author","dc.title","dc.date.issued","dc.publisher","dc.identifier.uri","dc.subject","thesis.degree.grantor","thesis.degress.name","renati.level","renati.type"
"1600","Caceres Chalco, Karina","Efectos socioeconómicos del COVID - 19 en los emprendimientos turísticos en la isla Taquile - Puno 2020","2022-03-29","Universidad Nacional del Altiplano. Repositorio Institucional - UNAP","https://repositorio.unap.edu.pe/handle/20.500.14082/18257","COVID -19 | Efectos socioeconómicos | Emprendedores | Recuperación económica","Universidad Nacional del Altiplano. Facultad de Ciencias Sociales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1601","García Urrutia Palmisano, Giovanna Eugenia","Establecimiento de hospedaje ecológico en la Laguna  de Paca","2018","Universidad Nacional Federico Villarreal","https://hdl.handle.net/20.500.13084/2520","diseño | hospedaje | rural | laguna | ecología | turismo","Universidad Nacional Federico Villarreal. Facultad de Arquitectura y Urbanismo","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1602","Arango Hurtado, Ivan Fernando","Modificación de la conducta negativista desafiante en un adolescente con discapacidad intelectual","2019-05-11","Universidad Nacional Federico Villarreal","https://hdl.handle.net/20.500.13084/3448","modificación de conducta | negativista desafiante | discapacidad intelectual | adolescente | habilidades sociales","Universidad Nacional Federico Villarreal. Facultad de Psicología","","https://purl.org/pe-repo/renati/level#tituloSegundaEspecialidad","https://purl.org/pe-repo/renati/type#trabajoAcademico"
"1603","Suárez Chávez, Félix Efraín","Proyecto del suministro de energía eléctrica al sistema de abastecimiento de agua potable para el eje Paita - Talara","1986","Universidad Nacional de Ingeniería","http://hdl.handle.net/20.500.14076/5171","Sistemas de abastecimiento | Suministro de energía eléctrica | Líneas eléctricas de transmisión","Universidad Nacional de Ingeniería. Facultad de Ingeniería Eléctrica y Electrónica","","",""
"1604","Jordán Saavedra, Airo Enrique","La reducción o eliminacion de aranceles debido a la firma de tratados de libre comercio con EE. UU y China y la recaudación tributaria del IGV de las importaciones en el periodo 2018-2022","2025","Universidad Nacional Federico Villarreal","https://hdl.handle.net/20.500.13084/11198","Economía publica e internacional | reducción de aranceles | recaudación tributaria del IGV","Universidad Nacional Federico Villarreal. Facultad de Ciencias Financieras y Contables","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1605","Ilave Huamaní, Violeta Soledad","Estilos de aprendizaje y su relación con el aprendizaje en el área de historia, geografía y economía en los estudiantes del nivel secundaria de la Institución Educativa José Carlos Mariátegui de Lampa, Ayacucho","2018","Universidad Nacional de Educación Enrique Guzmán y Valle","https://repositorio.une.edu.pe/handle/20.500.14039/3862","Estilos de aprendizaje | Relación con el aprendizaje | Economía en los estudiantes","Universidad Nacional de Educación Enrique Guzmán y Valle. Facultad de Ciencias Sociales y Humanidades","","",""
"1606","Julca Lescano, Mary Doris | Sánchez Sarmiento, Adela Isabel","El complejo agroindustrial del algodón en la región Grau","1991","Universidad Nacional de Ingeniería","http://hdl.handle.net/20.500.14076/8496","Agroindustria | Algodón | Comercialización","Universidad Nacional de Ingeniería. Facultad de Ingeniería Económica, Estadística y Ciencias Sociales","","",""
"1607","García Castillo, Marino","Explotación minera en Palca","1960","Universidad Nacional de Ingeniería","http://hdl.handle.net/20.500.14076/12403","Explotación de minerales | Prospección minera | Operaciones mineras","Universidad Nacional de Ingeniería. Facultad de Ingeniería Geológica, Minera y Metalúrgica","","",""
"1608","Padilla Laveriano, Ismael Hugo","Prueba de presión con medidores acústicos en pozos con unidades de bombeo mecánico","1993","Universidad Nacional de Ingeniería","http://hdl.handle.net/20.500.14076/19176","Equipo acústico | Pruebas de presión | Pozos petrolíferos","Universidad Nacional de Ingeniería. Facultad de Ingeniería de Petróleo, Gas Natural y Petroquímica","","",""
"1609","Llanos Saavedra, Marco Antonio","Determinación de parámetros germinativos de cinco especies de frutales nativos, procedentes de la cuenca amazónica en la Región Loreto","2011","Universidad Nacional de la Amazonía Peruana","http://repositorio.unapiquitos.edu.pe/handle/20.500.12737/1819","Determinación | Parámetros | Germinativos | Cinco | Especies | Frutales | Nativos | Procedentes | Cuenca | Amazónica | Región | Loreto","Universidad Nacional de la Amazonía Peruana. Facultad de Agronomía","","",""
"1610","Álvarez Calderón Sattui, Jaime | Chirinos Orihuela, Lucio Fernando | Miyashiro Nakandakari, Raúl Antonio | Ríos Haro, José Luis | Villanueva Samar, Jorge Armando","APPrende","2017-03","Universidad del Pacífico","http://hdl.handle.net/11354/1705","Planes de negocios | Plataforma virtual | Tecnología educativa | Administración","Universidad del Pacífico. Escuela de Postgrado","","",""
"1611","Beltrán de Lama, Patricia Janeth | Labán Mejía, Aldo Alonso | Butrón Alfaro, Ricardo","Mejora del proceso de planificación de la demanda en la empresa de Aceros Metalcor S.A","2019-07","Universidad del Pacífico","http://hdl.handle.net/11354/2526","Logística empresarial--Administración | Planificación empresarial | Industria siderúrgica | Administración de cadena de suministro","Universidad del Pacífico. Escuela de Postgrado","","",""
"1612","Carrasco Carrasco, Josué | Lolay Huamanyauri, Ingrid Vanessa | Mory Rosas, Freddy Narciso","Análisis del riesgo de demanda en carreteras concesionadas de la red vial nacional del Perú","2020-09","Universidad del Pacífico","https://hdl.handle.net/11354/2974","Carreteras--Aspectos económicos | Concesiones | Asociaciones público privadas | Servicios públicos","Universidad del Pacífico. Escuela de Postgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"1613","Ortiz Esteban, Luis Francisco","Valorización de Cementos Pacasmayo S.A.A.","2016-03","Universidad del Pacífico","http://hdl.handle.net/11354/1656","Empresas--Valoración | Industrias del cemento--Valoración | Finanzas","Universidad del Pacífico. Escuela de Postgrado","","",""
"1614","Bocardo Vargas, Edwin Carlos Jesús | Gallegos Quispe, Yeraldine Karina","Relación entre el comportamiento financiero y la intención de emprender de la generación Y de la ciudad de Arequipa - Perú 2023","2023","Universidad Tecnológica del Perú","https://hdl.handle.net/20.500.12867/10562","Comportamiento financiero | Intención de emprendimiento | Gestión del crédito | Comportamientos de seguros | Normas subjetivas","Universidad Tecnológica del Perú. Facultad de Administración y Negocios","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1615","Archenti Espinoza, Moises Humberto | Benavides Ramos, Julio Cesar | Trujillo Carrasco, Frank Gualberto","Auditoria del rubro inventarios y su influencia en la rentabilidad de la empresa XPODEKA S.A.C. en el año 2019","2019","Universidad Tecnológica del Perú","https://hdl.handle.net/20.500.12867/4269","Gestión de inventarios | Auditoría | Rentabilidad","Universidad Tecnológica del Perú. Facultad de Administración y Negocios","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#trabajoDeSuficienciaProfesional"
"1616","Oviedo Mamani, Percy Leonardo | Riveros Quiroz, Ingrid Vanesa","Evaluación de la cultura financiera en los empresarios del Centro Comercial Tradicional La Barraca, Arequipa 2019","2022","Universidad Tecnológica del Perú","https://hdl.handle.net/20.500.12867/6410","Educación financiera | Gestión financiera | Empresarios","Universidad Tecnológica del Perú. Facultad de Administración y Negocios","","https://purl.org/pe-repo/renati/level#bachiller","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"1617","Cabezas Dianderas, Jaime Victor | Ortega Gonzales, Janeth | Rázuri Vargas, Oscar Omar","Evaluación del control interno a través del Coso 2013 en las existencias de la empresa de telecomunicaciones SETECOM AIR S.A. en el periodo 2017","2018","Universidad Tecnológica del Perú","https://hdl.handle.net/20.500.12867/1625","Control interno | Gestión de inventarios | Almacenes","Universidad Tecnológica del Perú. Facultad de Administración y Negocios","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#trabajoDeSuficienciaProfesional"
"1618","Debernardi Portaro, Americo Duilio","Muerte civil como medida de prevención para la corrupción en el poder judicial del Perú","2016-07-07","Universidad San Pedro","http://repositorio.usanpedro.edu.pe/handle/USANPEDRO/3885","Muerte civil | Sanción accesoria","Universidad San Pedro.  Facultad De Derecho Y Ciencias Politicas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1619","Apaico Espinoza, César Augusto | Lau Bartra, Carlos | Ortecho Ramos, Enrique Elías","Propuesta de solución de inteligencia de negocios como apoyo a la gestión comercial para el agente de aduana Ausa","2014-05-08","Universidad Peruana de Ciencias Aplicadas (UPC)","http://hdl.handle.net/10757/316645","Procesamiento de datos de negocios | Inteligencia empresarial | Tecnologías de la información | Aduanas | Administración de proyectos informáticos | Tesis","Universidad Peruana de Ciencias Aplicadas (UPC). Escuela de Postgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"1620","Cárdenas Pérez, Jonnathan | Collantes Andia, Miguel Ángel | Galarreta Quinto, Daniel | Ruiz Cueva, Vanessa","Proyecto e-commerce de ropa artesanal Style Perú","2018-07-16","Universidad Peruana de Ciencias Aplicadas (UPC)","http://hdl.handle.net/10757/624451","Creación de empresas | Comercio electrónico | Industria textil | Ventas | Contabilidad","Universidad Peruana de Ciencias Aplicadas (UPC). División de Estudios Profesionales para Ejecutivos (EPE)","","https://purl.org/pe-repo/renati/level#bachiller","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"1621","Mendoza Inca, Maria Fernanda | Churata Gonzales, Marianne Katya","Diseño arquitectónico del Centro de Capacitación y Promoción de la Cultura Alpaquera Sostenible en el distrito de Callalli, Arequipa","2025","Universidad Nacional de San Agustín de Arequipa","https://hdl.handle.net/20.500.12773/21227","Capacitación técnico productiva | Promoción de la cultura | Sostenibilidad urbana","Universidad Nacional de San Agustín de Arequipa.Facultad de Arquitectura y Urbanismo","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1622","Aguilar Del Carpio, David Ernesto","Impacto del Covid-19 en las transiciones laborales de corto plazo en Perú: Un análisis por ingreso, sexo y edad. 2020","2025","Universidad Nacional de San Agustín de Arequipa","https://hdl.handle.net/20.500.12773/21688","Covid-19 | Transiciones laborales | Grupos vulnerables","Universidad Nacional de San Agustín de Arequipa.Unidad de Posgrado.Facultad de Ciencias Histórico Sociales","","https://purl.org/pe-repo/renati/level#doctor","https://purl.org/pe-repo/renati/type#tesis"
"1623","Pizarro Medina, Margiory Lucero","Experiencia profesional en la empresa Scharff Logística Integrada S. A., 2019-2024","2026","Universidad Nacional de San Agustín de Arequipa","https://hdl.handle.net/20.500.12773/21873","Comercio exterior | Costos de transacción | Logística y eficiencia operativa","Universidad Nacional de San Agustín de Arequipa.Facultad de Economía","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#trabajoDeSuficienciaProfesional"
"1624","Vásquez Montenegro, Ellard Eric","Influencia de la asimetría de información de mercado en el nivel de ventas de los productores de aguaymanto distrito, Bambamarca, 2013 - 2015","2017","Universidad Nacional de Cajamarca","http://hdl.handle.net/20.500.14074/1041","Asimetría de información | Agronegocios | Ineficiencia de mercado | Economías de mercado | Berries","Universidad Nacional de Cajamarca. Escuela de Posgrado","","",""
"1625","Avila Inga, Janneth Maira","Impacto del canon minero en el nivel de bienestar social en el departamento de Junín, 2009-2019","2024","Universidad Nacional del Centro del Perú","http://hdl.handle.net/20.500.12894/10870","Esperanza de vida al nacer | años de educación | ingreso familiar per cápita | índice de distribución del canon minero | Junín.","Universidad Nacional del Centro del Perú. Facultad de Economía","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"1626","Cerrón Santana, Kary Nohely","Sistema de control interno para disminuir los riesgos de gestión en el hospital Daniel Alcides Carrión – Huancayo","2012","Universidad Nacional del Centro del Perú","http://hdl.handle.net/20.500.12894/2371","Sistema de control interno | Hospital Daniel Alcides Carrión | Eficiencia | eficacia y economía","Universidad Nacional del Centro del Perú.Facultad de Contabilidad","","",""
"1627","Fernández Calixto, Brayan Daniel","Gasto público y pobreza de las provincias de Chupaca y Concepción, durante el periodo 2011 - 2019","2022","Universidad Nacional del Centro del Perú","http://hdl.handle.net/20.500.12894/8371","Gasto público | Políticas en salud | Vivienda | Desarrollo urbano | Pobreza","Universidad Nacional del Centro del Perú.Facultad de Economía","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1628","Peña Iparraguirre, Alfredo","Usos y Manejo Cultural y Social de las Aguas de la Subcuenca del rio Achamayo, Ingenio - Huancayo 2012","2013","Universidad Nacional del Centro del Peru","http://hdl.handle.net/20.500.12894/68","Manejo Cultural y Social | Aguas | Subcuenca","Universidad Nacional del Centro del Perú. Facultad de Antropología","","",""
"1629","Buendía Navarro, Julia","Influencia de la morosidad en la rentabilidad de las instituciones microfinancieras no bancarias del Perú, periodo 2009 – 2011","2015","Universidad Nacional del Centro del Perú","http://hdl.handle.net/20.500.12894/1974","Morosidad | Rentabilidad | Instituciones microfinancieras no bancarias","Universidad Nacional del Centro del Perú.Facultad de Ciencias Aplicadas.Escuela Académico Profesional de Administración de Empresas.Administración de Negocios","","",""
"1630","Zerpa Molina, Diana Lourdes | Valverde De La Cruz, Noely","Factores que determinan el valor de la producción agrícola en la región Junín, periodo 2017","2019","Universidad Nacional del Centro del Perú","http://hdl.handle.net/20.500.12894/5665","Valor de la producción | Insumos | Producto | Conectividad","Universidad Nacional del Centro del Perú.Facultad de Economía","","",""
"1631","Tito Calderon, Sholanch Jemima","Aplicación Airbnb y la evasión de impuesto a la renta de 1era categoría en la ciudad de Huancayo","2025","Universidad Continental","https://hdl.handle.net/20.500.12394/17798","Rentabilidad | Profitability | Impuestos | Taxes | Codigo tributario | Tax code","Universidad Continental. Facultad de Ciencias de la Empresa.","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1632","Gomez Quispe, Raquel | Ochante Allcca, Nievez","Estrategias de promoción en la estacionalidad turística de los operadores turísticos en la ciudad de Ayacucho","2025","Universidad Nacional de San Cristóbal de Huamanga","https://repositorio.unsch.edu.pe/handle/20.500.14612/8119","Estrategias | Promoción | Estacionalidad turística | Operadores turísticos | Actividad económica | Ayacucho","Universidad Nacional de San Cristóbal de Huamanga. Facultad de Ciencias Económicas, Administrativas y Contables","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1633","Tueros Amao, Henry William | Vilca Asto, Jhon Rusvel","“Determinantes de las exportaciones no tradicionales en el Perú 1994 - 2020”","2021","Universidad Nacional de San Cristóbal de Huamanga","http://repositorio.unsch.edu.pe/handle/UNSCH/5467","Determinantes | Tradicional | Multilateral | Exportación | Importación | Términos | Intercambio comercial","Universidad Nacional de San Cristóbal de Huamanga. Facultad de Ciencias Económicas, Administrativas y Contables","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1634","Flores Villafuerte, Edith Xuxa","Percepción cultural de la floricultura por los comuneros de San Isidro de Chicón – Urubamba – Cusco","2019","Universidad Nacional de San Antonio Abad del Cusco","http://hdl.handle.net/20.500.12918/5229","Percepción Cultural | Floricultura | Economía familiar campesina","Universidad Nacional de San Antonio Abad del Cusco. Facultad de Derecho y Ciencias Sociales","","http://purl.org/pe-repo/renati/nivel#tituloProfesional","http://purl.org/pe-repo/renati/type#tesis"
"1635","Matheus Amao, Ken Jhonatan","Diseño de portafolios de inversión en la bolsa de valores de Lima y su gestión de riesgo para la toma de decisiones óptimas periodo 2024","2026","Universidad Nacional de San Antonio Abad del Cusco","https://hdl.handle.net/20.500.12918/12218","Portafolios de inversión | Gestión de riesgos | Carteras eficientes | Mercado bursátil","Universidad Nacional de San Antonio Abad del Cusco. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"1636","Montalvo Peña, Hyrum | Valdivia Solórzano, Estefanía","Centro de convenciones y promoción Cusco","2018","Universidad Nacional de San Antonio Abad del Cusco","http://hdl.handle.net/20.500.12918/3597","Arquitectura | Centro de Convenciones","Universidad Nacional de San Antonio Abad del Cusco. Facultad de Arquitectura e Ingeniería Civil","","http://purl.org/pe-repo/renati/nivel#tituloProfesional","http://purl.org/pe-repo/renati/type#tesis"
"1637","Jurado Enriquez, Elizabeth Lizbel | Huaroto Maldonado, Emerson","Uso del Educaplay como estrategia didáctica para mejorar el aprendizaje del área de historia geografía y economía de la Institución Educativa &quot;Alberto Casavilca Curaca&quot; Ica - 2018","2018-09-29","Universidad Nacional de Huancavelica","https://hdl.handle.net/20.500.14597/2092","Imágenes como recursos didácticos | producción de cuentos | ilustración gráfica tradicional | ilustración gráfica digital | planificación | textualización | edición","Universidad Nacional de Huancavelica. Facultad de Educación","","",""
"1638","Huacac Pinares, Mauricio Alberto | Licona Herrera, Johare Salvatore","Cambios técnicos agrícolas y su incidencia en la economía de las familias campesinas de  Saratohuaylla, distrito de Huarocondo 2012-2019","2019-12-10","Universidad Andina del Cusco","https://hdl.handle.net/20.500.12557/3419","Trabajador agrícola | Producción agrícola | Salario","Universidad Andina del Cusco. Facultad de Ciencias Económicas, Administrativas y Contables","","",""
"1639","Cornelio Montalgo, Florinda","Condiciones socioeconómicas en el desarrollo social de la Población de Andas Chico, Yarumayo – Huánuco 2021","2023","Universidad Nacional Hermilio Valdizán","https://hdl.handle.net/20.500.13080/8166","Condición | Socioeconómica | Desarrollo | Social","Universidad Nacional Hermilio Valdizán. Facultad de Ciencias Sociales. EP de Sociología","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1640","Cárdenas Enciso, Edwin Giovanni | Delgado Prada, Vanessa Lissethe | Romero Viracachá, William Ricardo | Vizcaíno Niño, Oscar Andres","Planeamiento estratégico para el sector de las tecnologías de información y comunicaciones en Colombia","2018-07-30","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/12363","Tecnologías de la información -- Colombia | Telecomunicaciones -- Colombia | Planificación estratégica","Pontificia Universidad Católica del Perú. CENTRUM","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"1641","Deudor Malpazo, Yhon Charly | Hernández Huaco, Hugo Elmer | Salas Müller, Rebeca Nohelí | Salas Müller, Reyme Gonzalo","Modelo prolab: Sanamente, una propuesta tecnológica para mejorar el bienestar emocional de las personas en el Perú","2023-02-27","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/24348","Negocios--Planificación | Salud mental--Perú | Salud pública--Perú | COVID-19 (Enfermedad) | Desarrollo sostenible","Pontificia Universidad Católica del Perú. CENTRUM","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"1642","Gutiérrez Cottle, Carolina Marcella | Shimabukuro Kato, Denisse Hiromi | Urbina Garcia, Giovanna Martina","Modelo Prolab: “RECIEDU, Gestión de residuos sólidos en centros educativos con un enfoque en economía circular”","2025-07-07","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/31171","Reciclaje (Residuos, etc.)--Perú | Desarrollo sostenible--Aspectos ambientales | Economía ambiental | Residuos sólidos--Administración","Pontificia Universidad Católica del Perú. CENTRUM","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"1643","Gomez Lucana, Zoraida","Aplicación del Método de Proyectos en el aprendizaje del área de Historia, Geografía y Economía en los estudiantes del quinto año de secundaria de la Institución Educativa Nº 1137 “José Antonio Encinas” Santa Anita. UGEL 06. Ate 2015","2018-06-21","Universidad Nacional de Educación Enrique Guzmán y Valle. Escuela de Posgrado","https://repositorio.une.edu.pe/handle/20.500.14039/2345","Método de proyectos | Aprendizaje en el área de Historia","Universidad Nacional de Educación Enrique Guzmán y Valle. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"1644","Rospigliosi Cruz, Justo Martín","La relación entre las denuncias en la Contraloría General de la República y la eficiencia del gasto público en las regiones del Perú durante el periodo 2008 - 2019","2022","Universidad Nacional de la Amazonía Peruana","https://hdl.handle.net/20.500.12737/8869","Gastos públicos | Eficiencia organizacional | Denuncias administrativas | Administración pública","Universidad Nacional de la Amazonía Peruana. Escuela de Postgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"1645","Chuquitapa Herrera, Diego | Saldaña Fernández, Xiomara Lucía","El efecto de la variación de los precios internacionales del petróleo sobre las variables macroeconómicas del Perú","2024-12-06","Universidad Peruana de Ciencias Aplicadas (UPC)","http://hdl.handle.net/10757/683440","Shocks de los precios del petróleo | Ingresos petroleros | Desempeño macroeconómico | SVAR.","Universidad Peruana de Ciencias Aplicadas (UPC). Facultad de Economía","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1646","Pasquel Paitan, Karol Ricardo | Delgado Aguilar, Nataly Lillian","Determinantes socioeconómicos del desarrollo turístico de la provincia de Huancayo– año 2010","2010","Universidad Nacional del Centro del Perú","http://hdl.handle.net/20.500.12894/2262","Desarrollo turístico | Crecimiento económico | El turismo en el Perú","Universidad Nacional del Centro del Perú.Facultad de Economía","","",""
"1647","Aparicio Quispe, Liz Jennifer","Inversión pública local, empleo y acceso a servicios básicos para el desarrollo de la población en el distrito de Ccorca, provincia del Cusco 2005 - 2013","2014","Universidad Nacional de San Antonio Abad del Cusco","http://hdl.handle.net/20.500.12918/976","Inversión pública | Servicios básicos | Desarrollo de la población | Acceso a servicios","Universidad Nacional de San Antonio Abad del Cusco. Facultad de Economía","","http://purl.org/pe-repo/renati/nivel#tituloProfesional","http://purl.org/pe-repo/renati/type#tesis"
"1648","Martínez Velásquez, Mirella Kristell | Puertas Cuva, Betzabel Milagritos","Percepción de la mujer en la postergación del inicio de la maternidad. Distrito Trujillo. 2021","2023","Universidad Privada Antenor Orrego","https://hdl.handle.net/20.500.12759/10815","Mujeres | Maternidad","Universidad Privada Antenor Orrego. Facultad de Ciencias de la Salud","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1649","Martínez Velásquez, Mirella Kristell | Puertas Cuva, Betzabel Milagritos","Percepción de la mujer en la postergación del inicio de la maternidad. Distrito Trujillo. 2021","2023","Universidad Privada Antenor Orrego","https://hdl.handle.net/20.500.12759/11057","Mujeres | Postergación","Universidad Privada Antenor Orrego. Facultad de Ciencias de la Salud","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1650","Rodriguez Jimenez, Alfredo Anselmo","Relación entre la innovación tecnológica y el desempeño organizacional de las empresas MYPES de confecciones del Emporio Comercial de Gamarra, Lima 2020","2020-12-10","Universidad Privada del Norte","https://hdl.handle.net/11537/25458","Innovaciones tecnológicas | Evaluación del desempeño | Pequeñas empresas | Economía","Universidad Privada del Norte. Facultad de Negocios","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1651","Hillpa Zuñiga, Manuel Edmundo","Influencia de la Volatilidad de Variables Económico-Financieras en el Crecimiento Económico del Perú,  Periodo: 2000 – 2020","2018-01-12","Universidad Católica de Santa María","https://repositorio.ucsm.edu.pe/handle/20.500.12920/7163","Modelo Autoregresivo de Vectores | Economía | Finanzas | Crecimiento Económico | Inflación | Índice General de la Bolsa de Valores de Lima | Tipo de Cambio Nominal","Universidad Católica de Santa María.Escuela de Postgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"1652","Medina Chilque, Ana Claudia","Calificación de los servicios públicos del sector energético en el ordenamiento jurídico peruano","2023-05-08","Universidad Católica de Santa María","https://repositorio.ucsm.edu.pe/handle/20.500.12920/12585","Servicio público | Hidrocarburo | Regulación","Universidad Católica de Santa María.Facultad de Ciencias Jurídicas y Políticas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1653","Yucra Limachi, Mirian Esperanza","El principio de oportunidad en el delito de agresiones en contra de las mujeres o integrantes del grupo familiar, a propósito del acuerdo plenario 09- 2019/CIJ/116, Arequipa, 2022","2024-10-14","Universidad Católica de Santa María","https://hdl.handle.net/20.500.12920/14200","Principio de Oportunidad | Acuerdo plenario 09/2019/CIJ/116 | Grupo familiar","Universidad Católica de Santa María.Facultad de Ciencias Jurídicas y Políticas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1654","Carrasco Flores, Dharian Nickols | Torres Gamarra, Ani Marcela","El impacto del turismo rural comunitario en el desarrollo económico del Centro Poblado de Chacán, distrito de Anta, provincia de Anta, región Cusco 2014 – 2018.","2019-11-29","Universidad Andina del Cusco","https://hdl.handle.net/20.500.12557/3332","Desarrollo económico | Turismo rural comunitario | Empleo | Calidad de vida | Generación de empleo","Universidad Andina del Cusco. Facultad de Ciencias Económicas, Administrativas y Contables","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1655","Bustamante Pajuelo, Cristian Philippe | Noriega Alayo, Lorena Patricia | Pérez Huamán, Omar | Vallejos Zavaleta, Carlos Fernando","Planeamiento estratégico para la industria peruana del calzado","2017-07-13","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/8987","Calzado -- Industria y comercio -- Perú","Pontificia Universidad Católica del Perú. CENTRUM","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"1656","Carrión Cristóbal, Henry | Mendoza Romero, Magaly | Quiquia Chávez, Iván | Ramos Serrano, Shelby","Plan estratégico para el sector forestal maderable de la amazonía peruana con economía circular","2019-06-03","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/14308","Economía ambiental | Recursos forestales--Perú--Amazonía | Desarrollo forestal--Perú--Amazonía | Planificación estratégica","Pontificia Universidad Católica del Perú. CENTRUM","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"1657","Zavalaga Zúñiga, Jesús Antonio","Crecimiento económico, mercado de valores y mercado de bonos: estudio empírico para el Perú 2003-2019","2022-09-30","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/23450","Mercado financiero--Perú | Capital--Perú | Desarrollo económico--Perú","Pontificia Universidad Católica del Perú. Facultad de Ciencias Sociales","","https://purl.org/pe-repo/renati/level#bachiller","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"1658","Vergara Ramirez, Jean Andre | Zuñiga Garay, Hafid Haendel","Análisis comparativo entre el sistema constructivo convencional y el Sistema Steel Framing mediante el desarrollo de módulos básicos unifamiliares considerando el rol de la autoconstrucción en el Perú","2022-07-22","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/22893","Construcción industrializada | Acero de construcción | Construcciones de concreto--Encofrado","Pontificia Universidad Católica del Perú. Facultad de Ciencias e Ingeniería","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"1659","Landeo Aquino, Esther Elsa","“Ganadería comunal y familiar, dos modalidades productivas en la provincia de Yauli”","2017-10-17","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/9527","Ganadería--Perú--Yauli (Huancavelica : Distrito) | Ganadería--Perú--Aspectos sociales | Comunidades campesinas--Perú","Pontificia Universidad Católica del Perú. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
