"N°","dc.contributor.author","dc.title","dc.date.issued","dc.publisher","dc.identifier.uri","dc.subject","thesis.degree.grantor","thesis.degress.name","renati.level","renati.type"
"6845","Cárdenas Anzualdo, Yolanda | Prado Macalupu, Fidel","Desarrollo de un sistema de contabilidad de costos en la industria gráfica","1999","Universidad Nacional de Ingeniería","http://hdl.handle.net/20.500.14076/7823","Planeamiento estratégico de sistemas | Infraestructura de mico y mediana empresa","Universidad Nacional de Ingeniería. Facultad de Ingeniería Industrial y de Sistemas","","",""
"6846","Chumbiray Ayala, Luz Elvira | Del Campo Estrada, Miguel Antonio","Estudio de pre-factibilidad para la instalación de una planta de ácido cítrico a partir del zumo de limón","1985","Universidad Nacional de Ingeniería","http://hdl.handle.net/20.500.14076/15901","Diseño de plantas industriales | Ácidos | Ingeniería química","Universidad Nacional de Ingeniería. Facultad de Ingeniería Química y Textil","","",""
"6847","Casafranca Diaz, Liliana Rosa | Bermudez Mendieta, Ytalo | Morales Ramirez, Víctor Sever","Plan estratégico Camposol 2017-2024","2021","Universidad del Pacífico","https://hdl.handle.net/11354/3499","Planificación estratégica | Industria y comercio de alimentos | Administración","Universidad del Pacífico. Escuela de Postgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"6848","Sánchez Asparrín, Yván Santiago | Azurín Araujo, Manuel Eduardo","Proyecto de creación de una empresa de vuelos turísticos en dirigibles","2013-03-19","Universidad Peruana de Ciencias Aplicadas (UPC)","http://hdl.handle.net/10757/273838","Creación de empresas | Planificación del marketing | Estrategias de marketing | Estudios de viabilidad | Evaluación económica | Investigación de mercados | Administración de proyectos | Transporte aéreo | Turismo | Administración de Empresas | Tesis","Universidad Peruana de Ciencias Aplicadas (UPC). Escuela de Postgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"6849","Flores Nuñez, Lisbeth Dayana","El acceso al financiamiento y la informalidad en el desarrollo de las Pymes","2020-02-04","Universidad Peruana de Ciencias Aplicadas (UPC)","http://hdl.handle.net/10757/648860","Financiamiento | Desarrollo económico | Finanzas empresariales | Informalidad | Pequeñas y medianas empresas | Economía y Finanzas","Universidad Peruana de Ciencias Aplicadas (UPC). Facultad de Economía","","https://purl.org/pe-repo/renati/nivel#bachiller","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"6850","Salazar Calagua, Dominike Duval","Relación del capital intelectual y la rentabilidad: un estudio del sector bancario de Perú, Chile y Colombia","2019-11-27","Universidad Peruana de Ciencias Aplicadas (UPC)","http://hdl.handle.net/10757/652169","Capital intelectual | Rentabilidad | Sector bancario | Intellectual capital | Financial performance","Universidad Peruana de Ciencias Aplicadas (UPC). Facultad de Economía","","https://purl.org/pe-repo/renati/nivel#bachiller","https://purl.org/pe-repo/renati/type#trabajoDeInvestigacion"
"6851","Huillca Huamán, Betty Marilyn | Villanueva Orrego, Elizabeth Consuelo Dorila","Impacto directo e indirecto de cambios en la cotización internacional del petróleo sobre la inflación: un estudio para Perú 2007 – 2019","2021-10-05","Universidad Peruana de Ciencias Aplicadas (UPC)","http://hdl.handle.net/10757/658549","Inflación | Desempleo | Descomposición de Cholesky | Inflation | Unemployment | Cholesky decomposition","Universidad Peruana de Ciencias Aplicadas (UPC). Facultad de Economía","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"6852","Tupac Yupanqui Beuzeville, Ana Paula","Mercado Gastronómico en el Callao","2023-11-23","Universidad Peruana de Ciencias Aplicadas (UPC)","http://hdl.handle.net/10757/675723","Arquitectura sostenible | Gestión de residuos sólidos | Mercado Gastronómico | Comercio | Sustainable architecture | Solid waste management | Gastronomic Market | Commerce","Universidad Peruana de Ciencias Aplicadas (UPC). Facultad de Arquitectura","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"6853","Allccaco Chumpitaz, Marielena","Indicadores de salud y crecimiento económico: El caso de la obesidad y anemia en el Perú","2024-11-20","Universidad Peruana de Ciencias Aplicadas (UPC)","http://hdl.handle.net/10757/683344","Salud | Economía | Crecimiento económico | Productividad laboral | Anemia | OPbesidad | health; | Economy | Economic | Growth | Labor productivity; | Anemia | Obesity","Universidad Peruana de Ciencias Aplicadas (UPC). Facultad de Economía","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"6854","Salas Quispe, Sadith Beatriz | Orellano Risco, Karla Beliza","Estrategias competitivas y diferenciación por tamaño: Un estudio sobre la dinámica del sector bancario peruano","2024-12-02","Universidad Peruana de Ciencias Aplicadas (UPC)","http://hdl.handle.net/10757/683555","Interacciones estratégicas | Colocaciones de crédito | Economías de escala | Elasticidad de costos | Tolerancia mutua | Strategic interactions | Credit placements | Economies of scale | Cost elasticity","Universidad Peruana de Ciencias Aplicadas (UPC). Facultad de Economía","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
